"If you are already registered and have received our key, please type it below:", "Wenn sie bereits registriert sind und unseren Key erhalten haben, geben Sie diesen im Folgenden ein:"
"Not yet registered? <a href='%1' target='%2'>Now catch up.</a>", "Noch nicht registriert? <a href='%1' target='%2'>Jetzt nachholen.</a>"
"Graph Data", "Diagrammdaten"
"From","Von"
"To","An"
"Refresh","Aktualisieren"
"Impressions", "Impressions"
"Clicks", "Klicks"
"Conversions", "Conversions"
"Costs", "Kosten"
"Date","Datum"
"releva.nz Dashboard","releva.nz Übersicht"
"You have successfully added your configuration!", "Sie haben Ihre Konfiguration erfolgreich hinzugefügt!"
