"If you are already registered and have received our key, please type it below:", "Wenn sie bereits registriert sind und unseren Key erhalten haben, geben Sie diesen im Folgenden ein:"
"Graph Data", "Diagrammdaten"
"From","Von"
"To","An"
"Refresh","Aktualisieren"
"Impressions", "Impressions"
"Clicks", "Klicks"
"Conversions", "Conversions"
"Costs", "Kosten"
"Date","Datum"
"releva.nz Dashboard","releva.nz Übersicht"
"You have successfully added your configuration!", "Sie haben Ihre Konfiguration erfolgreich hinzugefügt!"
